Characteristics,Empirical,,,,,,,,,,,,,
,BF5,,SEPorig,,SEPext,,SEPext-patched,,SEPext SDP,,SEPext-patched SDP,,SEPext-patched SDP-Z,
,Freq,freqR,Freq,freqR,Freq,freqR,Freq,freqR,Freq,freqR,Freq,freqR,Freq,freqR
Chance,,,,,,,,,,,,,,
instruction is present:,152917,0.76,153427,0.77,140096,0.70,139941,0.70,129004,0.65,129380,0.65,129707,0.65
surely influences reward:,33316,0.17,33217,0.17,33956,0.17,34297,0.17,8670,0.04,8666,0.04,8737,0.04
possibly influences reward:,16334,0.08,16701,0.08,16994,0.08,16780,0.08,17414,0.09,17479,0.09,17473,0.09
possibly doesn't influence reward:,2724,0.01,2769,0.01,2663,0.01,2645,0.01,3180,0.02,3074,0.02,3213,0.02
surely doesn't influence reward:,96314,0.48,96287,0.48,92175,0.46,92089,0.46,108501,0.54,108297,0.54,107973,0.54
surely influences observation:,9831,0.05,9904,0.05,10313,0.05,10173,0.05,6218,0.03,6454,0.03,6255,0.03
possibly influences observation:,9555,0.05,9769,0.05,9367,0.05,9416,0.05,9276,0.05,9128,0.05,9172,0.05
possibly doesn't influence observation:,2724,0.01,2769,0.01,2663,0.01,2645,0.01,3180,0.02,3074,0.02,3213,0.02
surely doesn't influence observation:,74288,0.37,74025,0.37,76018,0.38,76132,0.38,87160,0.44,86967,0.43,86512,0.43
surely influences computation:,87148,0.44,87346,0.44,74603,0.37,74485,0.37,52990,0.26,53105,0.27,52907,0.26
possibly influences computation:,26478,0.13,26662,0.13,29655,0.15,29327,0.15,34373,0.17,34262,0.17,34763,0.17
of that based on action:,8460,0.04,8327,0.04,9753,0.05,9913,0.05,11483,0.06,11364,0.06,11554,0.06
possibly doesn't influence computation:,2724,0.01,2769,0.01,2663,0.01,2645,0.01,3180,0.02,3074,0.02,3213,0.02
surely doesn't influence computation:,64257,0.32,64050,0.32,67763,0.34,67833,0.34,80162,0.40,79821,0.40,79466,0.40
Action,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
instruction is present:,200000,1.00,200000,1.00,200000,1.00,200000,1.00,200000,1.00,200000,1.00,200000,1.00
surely influences computation:,148225,0.74,147451,0.74,147932,0.74,148274,0.74,146297,0.73,146076,0.73,145634,0.73
possibly influences computation:,27507,0.14,27935,0.14,27928,0.14,27725,0.14,28228,0.14,28359,0.14,28526,0.14
of that based on chance:,4638,0.02,4743,0.02,4835,0.02,4622,0.02,4465,0.02,4504,0.02,4508,0.02
possibly doesn't influence computation:,3628,0.02,3659,0.02,3698,0.02,3633,0.02,3923,0.02,3925,0.02,3884,0.02
surely doesn't influence computation:,17226,0.09,17313,0.09,16910,0.08,17147,0.09,8813,0.04,8862,0.04,8846,0.04
surely influences reward:,67883,0.34,67942,0.34,69006,0.35,69008,0.35,81213,0.41,80770,0.40,80681,0.40
possibly influences reward:,21118,0.11,21049,0.11,21436,0.11,21357,0.11,25040,0.13,25337,0.13,25039,0.13
possibly doesn't influence reward:,3628,0.02,3659,0.02,3698,0.02,3633,0.02,3923,0.02,3925,0.02,3884,0.02
surely doesn't influence reward:,49269,0.25,49285,0.25,49574,0.25,50163,0.25,15973,0.08,16095,0.08,16111,0.08
surely influences observation:,16711,0.08,16732,0.08,16845,0.08,17181,0.09,17334,0.09,17391,0.09,17216,0.09
possibly influences observation:,13204,0.07,12962,0.06,13464,0.07,13348,0.07,14439,0.07,14653,0.07,14643,0.07
